,Wavelength[nm],Average
0,320.469,5.0
1,323.166,93.0
2,325.861,77.0
3,328.553,100.0
4,331.243,64.0
5,333.93,111.0
6,336.615,98.0
7,339.297,106.0
8,341.976,120.0
9,344.653,128.0
10,347.327,139.0
11,349.998,134.0
12,352.666,185.0
13,355.331,210.0
14,357.994,222.0
15,360.653,283.0
16,363.309,371.0
17,365.962,582.0
18,368.612,927.0
19,371.259,1764.0
20,373.903,3959.0
21,376.543,9624.0
22,379.18,21025.0
23,381.813,38314.0
24,384.443,54419.0
25,387.07,54506.0
26,389.693,54677.0
27,392.313,54657.0
28,394.929,54544.0
29,397.541,54655.0
30,400.15,54647.0
31,402.755,47281.0
32,405.356,35210.0
33,407.954,25061.0
34,410.547,16957.0
35,413.137,11732.0
36,415.723,8277.0
37,418.305,5831.0
38,420.883,4006.0
39,423.457,2915.0
40,426.027,2144.0
41,428.593,1670.0
42,431.154,1313.0
43,433.712,1105.0
44,436.265,933.0
45,438.814,751.0
46,441.359,749.0
47,443.9,678.0
48,446.436,662.0
49,448.967,643.0
50,451.495,647.0
51,454.018,650.0
52,456.536,643.0
53,459.05,614.0
54,461.559,592.0
55,464.064,650.0
56,466.564,641.0
57,469.06,674.0
58,471.551,649.0
59,474.037,691.0
60,476.518,680.0
61,478.995,684.0
62,481.467,707.0
63,483.934,725.0
64,486.396,686.0
65,488.853,708.0
66,491.305,726.0
67,493.753,735.0
68,496.195,779.0
69,498.632,781.0
70,501.065,791.0
71,503.492,803.0
72,505.914,824.0
73,508.332,832.0
74,510.743,813.0
75,513.15,799.0
76,515.552,766.0
77,517.948,811.0
78,520.339,821.0
79,522.725,770.0
80,525.106,757.0
81,527.481,748.0
82,529.851,742.0
83,532.216,774.0
84,534.575,736.0
85,536.929,739.0
86,539.277,722.0
87,541.62,718.0
88,543.957,737.0
89,546.289,665.0
90,548.616,634.0
91,550.936,640.0
92,553.252,650.0
93,555.561,569.0
94,557.865,537.0
95,560.164,505.0
96,562.457,563.0
97,564.744,479.0
98,567.025,487.0
99,569.301,444.0
100,571.571,415.0
101,573.835,445.0
102,576.093,384.0
103,578.346,365.0
104,580.593,376.0
105,582.834,333.0
106,585.069,331.0
107,587.299,318.0
108,589.522,288.0
109,591.74,304.0
110,593.952,276.0
111,596.158,263.0
112,598.358,237.0
113,600.551,259.0
114,602.739,218.0
115,604.922,198.0
116,607.098,201.0
117,609.268,186.0
118,611.432,186.0
119,613.59,151.0
120,615.742,165.0
121,617.887,194.0
122,620.027,142.0
123,622.161,160.0
124,624.289,159.0
125,626.41,140.0
126,628.526,108.0
127,630.635,136.0
128,632.738,140.0
129,634.835,144.0
130,636.926,100.0
131,639.011,82.0
132,641.089,96.0
133,643.162,109.0
134,645.228,82.0
135,647.288,58.0
136,649.341,85.0
137,651.389,52.0
138,653.43,104.0
139,655.465,83.0
140,657.494,62.0
141,659.516,90.0
142,661.532,32.0
143,663.542,53.0
144,665.546,57.0
145,667.543,34.0
146,669.535,37.0
147,671.519,69.0
148,673.498,63.0
149,675.47,60.0
150,677.436,45.0
151,679.396,51.0
152,681.349,66.0
153,683.296,42.0
154,685.236,49.0
155,687.171,53.0
156,689.099,40.0
157,691.02,41.0
158,692.935,24.0
159,694.844,41.0
160,696.747,32.0
161,698.643,21.0
162,700.533,20.0
163,702.416,-6.0
164,704.293,20.0
165,706.164,-7.0
166,708.029,23.0
167,709.887,19.0
168,711.738,17.0
169,713.584,35.0
170,715.423,8.0
171,717.255,14.0
172,719.082,27.0
173,720.901,21.0
174,722.715,40.0
175,724.522,31.0
176,726.323,-10.0
177,728.117,29.0
178,729.905,31.0
179,731.687,15.0
180,733.462,14.0
181,735.232,19.0
182,736.994,3.0
183,738.751,30.0
184,740.501,11.0
185,742.244,33.0
186,743.982,-25.0
187,745.713,30.0
188,747.437,-31.0
189,749.156,1.0
190,750.868,2.0
191,752.573,19.0
192,754.273,28.0
193,755.966,-11.0
194,757.653,12.0
195,759.333,35.0
196,761.008,-4.0
