,Wavelength[nm],Average
0,320.469,1.0
1,323.166,68.0
2,325.861,77.0
3,328.553,68.0
4,331.243,71.0
5,333.93,76.0
6,336.615,85.0
7,339.297,72.0
8,341.976,126.0
9,344.653,75.0
10,347.327,103.0
11,349.998,124.0
12,352.666,151.0
13,355.331,137.0
14,357.994,181.0
15,360.653,240.0
16,363.309,278.0
17,365.962,364.0
18,368.612,616.0
19,371.259,1300.0
20,373.903,2803.0
21,376.543,6702.0
22,379.18,14621.0
23,381.813,27545.0
24,384.443,44447.0
25,387.07,54208.0
26,389.693,54630.0
27,392.313,54617.0
28,394.929,54491.0
29,397.541,54613.0
30,400.15,46676.0
31,402.755,34367.0
32,405.356,24545.0
33,407.954,17255.0
34,410.547,11797.0
35,413.137,8149.0
36,415.723,5802.0
37,418.305,4125.0
38,420.883,2827.0
39,423.457,2113.0
40,426.027,1485.0
41,428.593,1209.0
42,431.154,978.0
43,433.712,797.0
44,436.265,678.0
45,438.814,605.0
46,441.359,553.0
47,443.9,591.0
48,446.436,520.0
49,448.967,493.0
50,451.495,512.0
51,454.018,474.0
52,456.536,454.0
53,459.05,488.0
54,461.559,487.0
55,464.064,527.0
56,466.564,539.0
57,469.06,520.0
58,471.551,528.0
59,474.037,506.0
60,476.518,535.0
61,478.995,533.0
62,481.467,572.0
63,483.934,527.0
64,486.396,529.0
65,488.853,568.0
66,491.305,509.0
67,493.753,490.0
68,496.195,550.0
69,498.632,493.0
70,501.065,498.0
71,503.492,473.0
72,505.914,502.0
73,508.332,471.0
74,510.743,444.0
75,513.15,429.0
76,515.552,465.0
77,517.948,465.0
78,520.339,413.0
79,522.725,411.0
80,525.106,401.0
81,527.481,377.0
82,529.851,382.0
83,532.216,389.0
84,534.575,379.0
85,536.929,368.0
86,539.277,342.0
87,541.62,339.0
88,543.957,343.0
89,546.289,357.0
90,548.616,314.0
91,550.936,322.0
92,553.252,305.0
93,555.561,268.0
94,557.865,306.0
95,560.164,281.0
96,562.457,310.0
97,564.744,242.0
98,567.025,221.0
99,569.301,238.0
100,571.571,229.0
101,573.835,241.0
102,576.093,218.0
103,578.346,200.0
104,580.593,203.0
105,582.834,175.0
106,585.069,184.0
107,587.299,182.0
108,589.522,120.0
109,591.74,171.0
110,593.952,142.0
111,596.158,182.0
112,598.358,113.0
113,600.551,121.0
114,602.739,108.0
115,604.922,125.0
116,607.098,134.0
117,609.268,109.0
118,611.432,115.0
119,613.59,88.0
120,615.742,100.0
121,617.887,71.0
122,620.027,92.0
123,622.161,77.0
124,624.289,83.0
125,626.41,93.0
126,628.526,95.0
127,630.635,88.0
128,632.738,85.0
129,634.835,61.0
130,636.926,82.0
131,639.011,74.0
132,641.089,77.0
133,643.162,79.0
134,645.228,65.0
135,647.288,84.0
136,649.341,59.0
137,651.389,61.0
138,653.43,54.0
139,655.465,69.0
140,657.494,50.0
141,659.516,64.0
142,661.532,74.0
143,663.542,51.0
144,665.546,76.0
145,667.543,51.0
146,669.535,60.0
147,671.519,56.0
148,673.498,67.0
149,675.47,73.0
150,677.436,39.0
151,679.396,43.0
152,681.349,51.0
153,683.296,63.0
154,685.236,44.0
155,687.171,42.0
156,689.099,55.0
157,691.02,24.0
158,692.935,36.0
159,694.844,33.0
160,696.747,32.0
161,698.643,36.0
162,700.533,50.0
163,702.416,38.0
164,704.293,37.0
165,706.164,31.0
166,708.029,4.0
167,709.887,20.0
168,711.738,46.0
169,713.584,31.0
170,715.423,35.0
171,717.255,3.0
172,719.082,46.0
173,720.901,19.0
174,722.715,36.0
175,724.522,33.0
176,726.323,34.0
177,728.117,31.0
178,729.905,19.0
179,731.687,28.0
180,733.462,-1.0
181,735.232,21.0
182,736.994,19.0
183,738.751,30.0
184,740.501,4.0
185,742.244,19.0
186,743.982,18.0
187,745.713,35.0
188,747.437,-11.0
189,749.156,24.0
190,750.868,24.0
191,752.573,28.0
192,754.273,4.0
193,755.966,17.0
194,757.653,-14.0
195,759.333,30.0
196,761.008,36.0
197,762.676,27.0
198,764.337,26.0
199,765.993,31.0
200,767.642,14.0
201,769.285,2.0
202,770.922,16.0
203,772.552,7.0
204,774.176,4.0
205,775.795,17.0
206,777.406,7.0
207,779.012,34.0
208,780.611,53.0
209,782.205,9.0
210,783.792,30.0
211,785.373,6.0
212,786.947,35.0
213,788.516,6.0
214,790.078,-3.0
215,791.635,4.0
216,793.185,34.0
217,794.729,31.0
218,796.267,0.0
219,797.799,27.0
220,799.325,12.0
221,800.844,-13.0
222,802.358,4.0
223,803.866,28.0
224,805.368,15.0
225,806.863,8.0
226,808.353,11.0
227,809.836,-2.0
228,811.314,9.0
229,812.786,13.0
230,814.252,33.0
231,815.711,20.0
232,817.165,30.0
233,818.613,-18.0
234,820.055,27.0
235,821.491,25.0
236,822.922,0.0
237,824.346,10.0
238,825.765,26.0
239,827.178,28.0
240,828.585,0.0
241,829.986,10.0
242,831.381,-7.0
243,832.771,4.0
244,834.155,12.0
245,835.533,-8.0
246,836.906,-16.0
247,838.272,-6.0
248,839.633,-15.0
249,840.989,-18.0
250,842.339,26.0
251,843.683,20.0
252,845.021,0.0
253,846.354,35.0
254,847.682,11.0
255,849.004,29.0
256,850.32,-6.0
257,851.631,-1.0
258,852.936,34.0
259,854.236,3.0
260,855.53,6.0
261,856.819,15.0
262,858.102,-9.0
263,859.38,7.0
264,860.653,-22.0
265,861.92,-9.0
266,863.182,12.0
267,864.439,-4.0
268,865.69,27.0
269,866.936,7.0
270,868.177,24.0
271,869.412,11.0
272,870.642,17.0
273,871.867,17.0
274,873.087,12.0
275,874.302,1.0
276,875.512,20.0
277,876.716,19.0
278,877.916,12.0
