,Wavelength[nm],Average
0,320.469,-5.0
1,323.166,57.0
2,325.861,31.0
3,328.553,48.0
4,331.243,44.0
5,333.93,46.0
6,336.615,41.0
7,339.297,74.0
8,341.976,42.0
9,344.653,39.0
10,347.327,72.0
11,349.998,96.0
12,352.666,74.0
13,355.331,98.0
14,357.994,133.0
15,360.653,124.0
16,363.309,221.0
17,365.962,329.0
18,368.612,563.0
19,371.259,1049.0
20,373.903,2392.0
21,376.543,5936.0
22,379.18,12779.0
23,381.813,24004.0
24,384.443,39478.0
25,387.07,51858.0
26,389.693,54595.0
27,392.313,54576.0
28,394.929,54491.0
29,397.541,52082.0
30,400.15,41183.0
31,402.755,29810.0
32,405.356,21484.0
33,407.954,14996.0
34,410.547,10276.0
35,413.137,7009.0
36,415.723,5022.0
37,418.305,3564.0
38,420.883,2415.0
39,423.457,1729.0
40,426.027,1302.0
41,428.593,1004.0
42,431.154,780.0
43,433.712,643.0
44,436.265,569.0
45,438.814,497.0
46,441.359,443.0
47,443.9,445.0
48,446.436,426.0
49,448.967,404.0
50,451.495,381.0
51,454.018,367.0
52,456.536,411.0
53,459.05,365.0
54,461.559,405.0
55,464.064,412.0
56,466.564,406.0
57,469.06,413.0
58,471.551,416.0
59,474.037,448.0
60,476.518,455.0
61,478.995,472.0
62,481.467,428.0
63,483.934,449.0
64,486.396,419.0
65,488.853,437.0
66,491.305,461.0
67,493.753,413.0
68,496.195,443.0
69,498.632,460.0
70,501.065,462.0
71,503.492,493.0
72,505.914,452.0
73,508.332,430.0
74,510.743,442.0
75,513.15,463.0
76,515.552,430.0
77,517.948,432.0
78,520.339,418.0
79,522.725,474.0
80,525.106,419.0
81,527.481,327.0
82,529.851,394.0
83,532.216,432.0
84,534.575,400.0
85,536.929,351.0
86,539.277,356.0
87,541.62,372.0
88,543.957,374.0
89,546.289,415.0
90,548.616,362.0
91,550.936,372.0
92,553.252,351.0
93,555.561,306.0
94,557.865,306.0
95,560.164,273.0
96,562.457,224.0
97,564.744,255.0
98,567.025,265.0
99,569.301,236.0
100,571.571,249.0
101,573.835,232.0
102,576.093,218.0
103,578.346,217.0
104,580.593,174.0
105,582.834,175.0
106,585.069,171.0
107,587.299,150.0
108,589.522,139.0
109,591.74,123.0
110,593.952,147.0
111,596.158,136.0
112,598.358,127.0
113,600.551,162.0
114,602.739,95.0
