,Wavelength[nm],Average
0,320.469,1.5
1,323.166,0.28866
2,325.861,0.30303
3,328.553,0.872727
4,331.243,0.31746
5,333.93,0.293478
6,336.615,0.57377
7,339.297,0.468354
8,341.976,0.392405
9,344.653,0.055556
10,347.327,0.322917
11,349.998,0.320755
12,352.666,0.319444
13,355.331,0.521127
14,357.994,0.48
15,360.653,0.842857
16,363.309,0.722222
17,365.962,0.096386
18,368.612,0.797297
19,371.259,0.443299
20,373.903,0.473684
21,376.543,0.719298
22,379.18,0.696629
23,381.813,0.559322
24,384.443,0.266667
25,387.07,0.915254
26,389.693,0.675676
27,392.313,0.230769
28,394.929,0.194805
29,397.541,0.52439
30,400.15,0.488889
31,402.755,0.663366
32,405.356,0.571429
33,407.954,0.380531
34,410.547,0.409836
35,413.137,0.544643
36,415.723,0.651899
37,418.305,0.593023
38,420.883,0.372385
39,423.457,0.610345
40,426.027,0.491031
41,428.593,0.508772
42,431.154,0.498864
43,433.712,0.539056
44,436.265,0.50336
45,438.814,0.527972
46,441.359,0.508756
47,443.9,0.504953
48,446.436,0.50155
49,448.967,0.499599
50,451.495,0.495532
51,454.018,0.504204
52,456.536,0.503721
53,459.05,0.505175
54,461.559,0.516197
55,464.064,0.518639
56,466.564,0.518993
57,469.06,0.527378
58,471.551,0.527509
59,474.037,0.531639
60,476.518,0.535097
61,478.995,0.543444
62,481.467,0.545204
63,483.934,0.545513
64,486.396,0.546161
65,488.853,0.562774
66,491.305,0.542533
67,493.753,0.552757
68,496.195,0.566567
69,498.632,0.573879
70,501.065,0.573114
71,503.492,0.580276
72,505.914,0.587825
73,508.332,0.590226
74,510.743,0.600561
75,513.15,0.60653
76,515.552,0.620005
77,517.948,0.617647
78,520.339,0.627627
79,522.725,0.634353
80,525.106,0.635901
81,527.481,0.644541
82,529.851,0.646107
83,532.216,0.649757
84,534.575,0.647375
85,536.929,0.647356
86,539.277,0.653079
87,541.62,0.654341
88,543.957,0.652936
89,546.289,0.645368
90,548.616,0.647615
91,550.936,0.649303
92,553.252,0.652315
93,555.561,0.650524
94,557.865,0.653953
95,560.164,0.660545
96,562.457,0.667883
97,564.744,0.660921
98,567.025,0.67085
99,569.301,0.674277
100,571.571,0.670893
101,573.835,0.666422
102,576.093,0.679744
103,578.346,0.679078
104,580.593,0.682868
105,582.834,0.684493
106,585.069,0.686886
107,587.299,0.695334
108,589.522,0.700027
109,591.74,0.70413
110,593.952,0.702036
111,596.158,0.702404
112,598.358,0.690063
113,600.551,0.685459
114,602.739,0.685608
115,604.922,0.674546
116,607.098,0.664689
117,609.268,0.666639
118,611.432,0.657785
119,613.59,0.651905
120,615.742,0.648818
121,617.887,0.652664
122,620.027,0.652316
123,622.161,0.643674
124,624.289,0.651412
125,626.41,0.648622
126,628.526,0.647641
127,630.635,0.63456
128,632.738,0.644903
129,634.835,0.636815
130,636.926,0.638917
131,639.011,0.627885
132,641.089,0.629686
133,643.162,0.634498
134,645.228,0.629516
135,647.288,0.627204
136,649.341,0.63335
137,651.389,0.631895
138,653.43,0.63648
139,655.465,0.644884
140,657.494,0.650676
141,659.516,0.650293
142,661.532,0.643463
143,663.542,0.641035
144,665.546,0.644263
145,667.543,0.652693
146,669.535,0.656187
147,671.519,0.641492
148,673.498,0.654669
149,675.47,0.64767
150,677.436,0.649604
151,679.396,0.665452
152,681.349,0.656128
153,683.296,0.655483
154,685.236,0.669783
155,687.171,0.686869
156,689.099,0.676496
157,691.02,0.654102
158,692.935,0.689104
159,694.844,0.685387
160,696.747,0.663965
161,698.643,0.665706
162,700.533,0.681564
163,702.416,0.658311
164,704.293,0.657348
165,706.164,0.683721
166,708.029,0.715305
167,709.887,0.684662
168,711.738,0.6742
169,713.584,0.70997
170,715.423,0.669197
171,717.255,0.677348
172,719.082,0.731552
173,720.901,0.673254
174,722.715,0.669811
175,724.522,0.64
176,726.323,0.726688
177,728.117,0.625796
178,729.905,0.711504
179,731.687,0.685115
180,733.462,0.738589
181,735.232,0.715247
182,736.994,0.676744
183,738.751,0.734411
184,740.501,0.574572
185,742.244,0.625628
186,743.982,0.6997
187,745.713,0.611594
188,747.437,0.547771
189,749.156,0.690476
190,750.868,0.670213
191,752.573,0.631579
192,754.273,0.72549
193,755.966,0.638767
194,757.653,0.56422
195,759.333,0.556075
196,761.008,0.526316
197,762.676,0.517241
198,764.337,0.993289
199,765.993,0.675862
200,767.642,0.65625
201,769.285,0.837209
202,770.922,0.567376
203,772.552,0.518072
204,774.176,0.42953
205,775.795,0.569231
206,777.406,0.473684
207,779.012,0.284553
208,780.611,0.314286
209,782.205,0.611111
210,783.792,0.276423
211,785.373,0.154545
212,786.947,0.256098
213,788.516,0.451219
214,790.078,0.518519
215,791.635,0.685714
216,793.185,0.761194
217,794.729,0.367347
218,796.267,0.429907
219,797.799,0.384615
220,799.325,0.5
221,800.844,0.706667
222,802.358,-0.103448
223,803.866,0.6
224,805.368,0.37037
225,806.863,0.183486
226,808.353,0.584416
227,809.836,0.636364
228,811.314,0.20339
229,812.786,0.703297
230,814.252,0.343284
231,815.711,1.254545
232,817.165,0.779661
233,818.613,0.148148
234,820.055,0.648352
235,821.491,0.373494
236,822.922,0.655556
237,824.346,0.944444
238,825.765,0.573171
239,827.178,0.9375
240,828.585,0.634146
241,829.986,0.481481
242,831.381,0.804878
243,832.771,0.416667
244,834.155,0.635294
245,835.533,0.538462
246,836.906,0.525
247,838.272,0.52439
248,839.633,0.820895
249,840.989,0.588235
250,842.339,0.266667
251,843.683,0.649485
252,845.021,0.734375
253,846.354,0.542373
254,847.682,0.13253
255,849.004,1.255814
256,850.32,1.080645
257,851.631,0.333333
258,852.936,0.080645
259,854.236,0.402597
260,855.53,0.68
261,856.819,0.3
262,858.102,0.333333
263,859.38,0.25
264,860.653,0.589286
265,861.92,0.3
266,863.182,0.979592
267,864.439,0.255319
268,865.69,0.15942
269,866.936,0.333333
270,868.177,0.435897
271,869.412,0.261538
272,870.642,0.247423
273,871.867,0.492308
274,873.087,0.528571
275,874.302,0.552632
276,875.512,0.361111
277,876.716,0.135593
278,877.916,0.380282
279,879.11,0.4125
280,880.299,-0.536585
281,881.483,0.479167
282,882.663,0.179487
283,883.837,0.375
284,885.006,1.105263
285,886.17,-0.128205
286,887.33,0.681818
287,888.484,-0.128571
