,Wavelength[nm],Average
0,320.469,10.0
1,323.166,77.0
2,325.861,78.0
3,328.553,105.0
4,331.243,99.0
5,333.93,94.0
6,336.615,103.0
7,339.297,110.0
8,341.976,137.0
9,344.653,146.0
10,347.327,138.0
11,349.998,188.0
12,352.666,144.0
13,355.331,228.0
14,357.994,252.0
15,360.653,338.0
16,363.309,482.0
17,365.962,691.0
18,368.612,1156.0
19,371.259,2205.0
20,373.903,4991.0
21,376.543,11708.0
22,379.18,25092.0
23,381.813,45024.0
24,384.443,54574.0
25,387.07,54510.0
26,389.693,54676.0
27,392.313,54663.0
28,394.929,54559.0
29,397.541,54661.0
30,400.15,54635.0
31,402.755,53604.0
32,405.356,41944.0
33,407.954,30031.0
34,410.547,20525.0
35,413.137,14178.0
36,415.723,9968.0
37,418.305,6863.0
38,420.883,4771.0
39,423.457,3398.0
40,426.027,2425.0
41,428.593,1884.0
42,431.154,1497.0
43,433.712,1203.0
44,436.265,1030.0
45,438.814,891.0
46,441.359,853.0
47,443.9,790.0
48,446.436,744.0
49,448.967,724.0
50,451.495,705.0
51,454.018,695.0
52,456.536,691.0
53,459.05,655.0
54,461.559,680.0
55,464.064,696.0
56,466.564,701.0
57,469.06,713.0
58,471.551,713.0
59,474.037,736.0
60,476.518,768.0
61,478.995,780.0
62,481.467,798.0
63,483.934,828.0
64,486.396,851.0
65,488.853,824.0
66,491.305,848.0
67,493.753,916.0
68,496.195,933.0
69,498.632,996.0
70,501.065,1010.0
71,503.492,1059.0
72,505.914,1077.0
73,508.332,1091.0
74,510.743,1106.0
75,513.15,1112.0
76,515.552,1153.0
77,517.948,1177.0
78,520.339,1177.0
79,522.725,1160.0
80,525.106,1076.0
81,527.481,1112.0
82,529.851,1130.0
83,532.216,1082.0
84,534.575,1099.0
85,536.929,1114.0
86,539.277,1124.0
87,541.62,1025.0
88,543.957,1014.0
89,546.289,989.0
90,548.616,927.0
91,550.936,881.0
92,553.252,883.0
93,555.561,844.0
94,557.865,806.0
95,560.164,778.0
96,562.457,740.0
97,564.744,735.0
98,567.025,681.0
99,569.301,666.0
100,571.571,636.0
101,573.835,597.0
102,576.093,572.0
103,578.346,523.0
104,580.593,495.0
105,582.834,534.0
106,585.069,471.0
107,587.299,478.0
108,589.522,421.0
109,591.74,418.0
110,593.952,394.0
111,596.158,352.0
112,598.358,326.0
113,600.551,327.0
114,602.739,321.0
115,604.922,300.0
116,607.098,277.0
117,609.268,247.0
118,611.432,237.0
119,613.59,253.0
120,615.742,227.0
121,617.887,213.0
122,620.027,176.0
123,622.161,188.0
124,624.289,168.0
125,626.41,167.0
126,628.526,170.0
127,630.635,151.0
128,632.738,120.0
129,634.835,172.0
130,636.926,126.0
131,639.011,118.0
132,641.089,124.0
133,643.162,103.0
134,645.228,125.0
135,647.288,111.0
136,649.341,112.0
137,651.389,103.0
138,653.43,85.0
139,655.465,114.0
140,657.494,96.0
141,659.516,87.0
142,661.532,70.0
143,663.542,94.0
144,665.546,71.0
145,667.543,44.0
146,669.535,65.0
147,671.519,55.0
148,673.498,45.0
149,675.47,45.0
150,677.436,75.0
151,679.396,57.0
152,681.349,39.0
