,Wavelength[nm],Average
0,320.469,8.0
1,323.166,90.0
2,325.861,98.0
3,328.553,74.0
4,331.243,103.0
5,333.93,94.0
6,336.615,87.0
7,339.297,125.0
8,341.976,129.0
9,344.653,121.0
10,347.327,169.0
11,349.998,180.0
12,352.666,157.0
13,355.331,277.0
14,357.994,284.0
15,360.653,403.0
16,363.309,654.0
17,365.962,1193.0
18,368.612,2552.0
19,371.259,5744.0
20,373.903,12388.0
21,376.543,23591.0
22,379.18,39255.0
23,381.813,51632.0
24,384.443,53406.0
25,387.07,53619.0
26,389.693,53146.0
27,392.313,53259.0
28,394.929,47008.0
29,397.541,35017.0
30,400.15,24798.0
31,402.755,17022.0
32,405.356,11492.0
33,407.954,7436.0
34,410.547,5126.0
35,413.137,3492.0
36,415.723,2421.0
37,418.305,1671.0
38,420.883,1217.0
39,423.457,924.0
40,426.027,758.0
41,428.593,670.0
42,431.154,610.0
43,433.712,501.0
44,436.265,490.0
45,438.814,483.0
46,441.359,418.0
47,443.9,483.0
48,446.436,450.0
49,448.967,441.0
50,451.495,457.0
51,454.018,479.0
52,456.536,504.0
53,459.05,472.0
54,461.559,469.0
55,464.064,483.0
56,466.564,463.0
57,469.06,437.0
58,471.551,469.0
59,474.037,469.0
60,476.518,470.0
61,478.995,444.0
62,481.467,482.0
63,483.934,471.0
64,486.396,450.0
65,488.853,417.0
66,491.305,480.0
67,493.753,457.0
68,496.195,418.0
69,498.632,431.0
70,501.065,430.0
71,503.492,450.0
72,505.914,417.0
73,508.332,447.0
74,510.743,398.0
75,513.15,413.0
76,515.552,400.0
77,517.948,398.0
78,520.339,385.0
79,522.725,426.0
80,525.106,385.0
81,527.481,410.0
82,529.851,434.0
83,532.216,412.0
84,534.575,378.0
85,536.929,323.0
86,539.277,335.0
87,541.62,346.0
88,543.957,306.0
89,546.289,284.0
90,548.616,303.0
91,550.936,275.0
92,553.252,281.0
93,555.561,262.0
94,557.865,279.0
95,560.164,276.0
96,562.457,227.0
97,564.744,250.0
98,567.025,244.0
99,569.301,226.0
100,571.571,232.0
101,573.835,236.0
102,576.093,207.0
103,578.346,197.0
104,580.593,211.0
105,582.834,129.0
106,585.069,182.0
107,587.299,165.0
108,589.522,152.0
109,591.74,153.0
110,593.952,117.0
111,596.158,121.0
112,598.358,139.0
113,600.551,124.0
114,602.739,134.0
115,604.922,120.0
116,607.098,130.0
117,609.268,78.0
118,611.432,87.0
119,613.59,104.0
120,615.742,83.0
121,617.887,109.0
122,620.027,59.0
123,622.161,65.0
124,624.289,94.0
125,626.41,106.0
126,628.526,76.0
127,630.635,65.0
128,632.738,64.0
129,634.835,64.0
130,636.926,56.0
131,639.011,71.0
132,641.089,73.0
133,643.162,46.0
134,645.228,43.0
135,647.288,54.0
136,649.341,64.0
137,651.389,63.0
138,653.43,35.0
139,655.465,46.0
140,657.494,48.0
141,659.516,62.0
142,661.532,49.0
143,663.542,16.0
144,665.546,60.0
145,667.543,54.0
146,669.535,50.0
147,671.519,30.0
148,673.498,52.0
149,675.47,46.0
150,677.436,24.0
151,679.396,39.0
152,681.349,3.0
153,683.296,56.0
154,685.236,41.0
155,687.171,30.0
156,689.099,36.0
157,691.02,33.0
158,692.935,39.0
159,694.844,4.0
160,696.747,1.0
161,698.643,12.0
162,700.533,9.0
163,702.416,49.0
164,704.293,33.0
165,706.164,32.0
166,708.029,12.0
167,709.887,36.0
168,711.738,23.0
169,713.584,50.0
170,715.423,-1.0
171,717.255,51.0
172,719.082,25.0
173,720.901,-11.0
174,722.715,35.0
175,724.522,-12.0
176,726.323,-8.0
177,728.117,17.0
178,729.905,34.0
179,731.687,-6.0
180,733.462,31.0
181,735.232,30.0
182,736.994,-2.0
183,738.751,10.0
184,740.501,20.0
185,742.244,18.0
186,743.982,21.0
187,745.713,-5.0
188,747.437,28.0
189,749.156,29.0
190,750.868,13.0
191,752.573,19.0
192,754.273,33.0
193,755.966,27.0
194,757.653,41.0
195,759.333,1.0
196,761.008,0.0
197,762.676,10.0
198,764.337,-6.0
199,765.993,18.0
200,767.642,-12.0
201,769.285,10.0
202,770.922,19.0
203,772.552,14.0
204,774.176,20.0
205,775.795,-9.0
206,777.406,23.0
207,779.012,17.0
208,780.611,3.0
209,782.205,15.0
210,783.792,-17.0
211,785.373,8.0
212,786.947,29.0
213,788.516,-7.0
214,790.078,-3.0
215,791.635,-3.0
216,793.185,-24.0
217,794.729,-5.0
218,796.267,-5.0
219,797.799,18.0
220,799.325,-6.0
221,800.844,32.0
222,802.358,2.0
223,803.866,9.0
224,805.368,29.0
225,806.863,-1.0
226,808.353,-28.0
227,809.836,38.0
228,811.314,-18.0
229,812.786,13.0
230,814.252,-10.0
231,815.711,15.0
232,817.165,9.0
233,818.613,-16.0
234,820.055,-12.0
235,821.491,5.0
236,822.922,-4.0
237,824.346,1.0
238,825.765,-4.0
239,827.178,46.0
240,828.585,21.0
241,829.986,-1.0
242,831.381,-17.0
243,832.771,3.0
244,834.155,37.0
245,835.533,13.0
246,836.906,-17.0
247,838.272,26.0
248,839.633,10.0
249,840.989,-17.0
250,842.339,2.0
251,843.683,-13.0
252,845.021,-1.0
253,846.354,-7.0
254,847.682,-10.0
255,849.004,28.0
256,850.32,2.0
257,851.631,-4.0
258,852.936,-17.0
259,854.236,11.0
260,855.53,15.0
261,856.819,10.0
262,858.102,4.0
263,859.38,13.0
264,860.653,8.0
265,861.92,21.0
266,863.182,9.0
267,864.439,8.0
268,865.69,17.0
269,866.936,40.0
270,868.177,22.0
271,869.412,-11.0
272,870.642,7.0
273,871.867,7.0
274,873.087,-9.0
275,874.302,3.0
276,875.512,1.0
277,876.716,-20.0
278,877.916,18.0
279,879.11,-21.0
280,880.299,15.0
281,881.483,-4.0
282,882.663,20.0
283,883.837,18.0
284,885.006,-18.0
285,886.17,13.0
286,887.33,28.0
287,888.484,-1.0
