,Wavelength[nm],Average
0,320.469,-3.0
1,323.166,75.0
2,325.861,95.0
3,328.553,111.0
4,331.243,78.0
5,333.93,112.0
6,336.615,108.0
7,339.297,142.0
8,341.976,142.0
9,344.653,134.0
10,347.327,142.0
11,349.998,204.0
12,352.666,268.0
13,355.331,291.0
14,357.994,365.0
15,360.653,516.0
16,363.309,751.0
17,365.962,1392.0
18,368.612,2899.0
19,371.259,6716.0
20,373.903,14501.0
21,376.543,27266.0
22,379.18,44641.0
23,381.813,53187.0
24,384.443,53405.0
25,387.07,53586.0
26,389.693,53093.0
27,392.313,53438.0
28,394.929,50786.0
29,397.541,38742.0
30,400.15,27568.0
31,402.755,19207.0
32,405.356,12792.0
33,407.954,8357.0
34,410.547,5651.0
35,413.137,3873.0
36,415.723,2713.0
37,418.305,1879.0
38,420.883,1354.0
39,423.457,1079.0
40,426.027,878.0
41,428.593,704.0
42,431.154,641.0
43,433.712,626.0
44,436.265,559.0
45,438.814,469.0
46,441.359,485.0
47,443.9,495.0
48,446.436,471.0
49,448.967,516.0
50,451.495,512.0
51,454.018,472.0
52,456.536,537.0
53,459.05,526.0
54,461.559,503.0
55,464.064,522.0
56,466.564,546.0
57,469.06,469.0
58,471.551,505.0
59,474.037,520.0
60,476.518,487.0
61,478.995,472.0
62,481.467,489.0
63,483.934,457.0
64,486.396,459.0
65,488.853,464.0
66,491.305,436.0
67,493.753,444.0
68,496.195,448.0
69,498.632,434.0
70,501.065,418.0
71,503.492,444.0
72,505.914,403.0
73,508.332,418.0
74,510.743,423.0
75,513.15,415.0
76,515.552,364.0
77,517.948,361.0
78,520.339,411.0
79,522.725,405.0
80,525.106,363.0
81,527.481,404.0
82,529.851,387.0
83,532.216,409.0
84,534.575,376.0
85,536.929,417.0
86,539.277,369.0
87,541.62,303.0
88,543.957,311.0
89,546.289,299.0
90,548.616,291.0
91,550.936,231.0
92,553.252,279.0
93,555.561,234.0
94,557.865,200.0
95,560.164,180.0
96,562.457,211.0
97,564.744,223.0
98,567.025,182.0
99,569.301,184.0
100,571.571,183.0
101,573.835,165.0
102,576.093,171.0
103,578.346,161.0
104,580.593,161.0
105,582.834,195.0
106,585.069,138.0
107,587.299,148.0
108,589.522,128.0
109,591.74,145.0
110,593.952,138.0
111,596.158,122.0
112,598.358,103.0
113,600.551,106.0
114,602.739,104.0
115,604.922,92.0
116,607.098,101.0
117,609.268,68.0
118,611.432,108.0
119,613.59,98.0
120,615.742,53.0
121,617.887,114.0
122,620.027,70.0
123,622.161,62.0
124,624.289,72.0
125,626.41,87.0
126,628.526,61.0
127,630.635,84.0
128,632.738,74.0
129,634.835,68.0
130,636.926,84.0
131,639.011,64.0
132,641.089,78.0
133,643.162,80.0
134,645.228,39.0
135,647.288,71.0
136,649.341,73.0
137,651.389,34.0
138,653.43,63.0
139,655.465,31.0
140,657.494,-1.0
141,659.516,49.0
142,661.532,39.0
143,663.542,49.0
144,665.546,49.0
145,667.543,35.0
146,669.535,31.0
147,671.519,35.0
148,673.498,46.0
149,675.47,46.0
150,677.436,20.0
151,679.396,24.0
152,681.349,28.0
153,683.296,19.0
154,685.236,18.0
155,687.171,30.0
156,689.099,20.0
157,691.02,11.0
158,692.935,25.0
159,694.844,20.0
160,696.747,22.0
161,698.643,8.0
162,700.533,1.0
163,702.416,36.0
164,704.293,30.0
165,706.164,25.0
166,708.029,41.0
167,709.887,23.0
168,711.738,32.0
169,713.584,-15.0
170,715.423,24.0
171,717.255,2.0
172,719.082,12.0
173,720.901,17.0
174,722.715,-4.0
175,724.522,16.0
176,726.323,13.0
177,728.117,-10.0
178,729.905,16.0
179,731.687,37.0
180,733.462,45.0
181,735.232,52.0
182,736.994,8.0
183,738.751,45.0
184,740.501,19.0
185,742.244,-7.0
186,743.982,3.0
187,745.713,3.0
188,747.437,3.0
189,749.156,16.0
190,750.868,-3.0
191,752.573,5.0
192,754.273,28.0
193,755.966,20.0
194,757.653,30.0
195,759.333,-3.0
196,761.008,-3.0
197,762.676,-18.0
198,764.337,-14.0
199,765.993,17.0
200,767.642,13.0
201,769.285,28.0
202,770.922,22.0
203,772.552,1.0
204,774.176,-14.0
205,775.795,-23.0
206,777.406,13.0
207,779.012,-24.0
208,780.611,-7.0
209,782.205,12.0
210,783.792,14.0
211,785.373,-24.0
212,786.947,3.0
213,788.516,-8.0
214,790.078,6.0
215,791.635,-4.0
216,793.185,-5.0
217,794.729,-12.0
218,796.267,27.0
219,797.799,-17.0
220,799.325,-3.0
221,800.844,27.0
222,802.358,-8.0
223,803.866,0.0
224,805.368,-1.0
225,806.863,-22.0
226,808.353,-1.0
227,809.836,16.0
228,811.314,32.0
229,812.786,24.0
230,814.252,42.0
231,815.711,9.0
232,817.165,14.0
233,818.613,6.0
234,820.055,6.0
235,821.491,42.0
236,822.922,5.0
237,824.346,18.0
238,825.765,10.0
239,827.178,5.0
240,828.585,-25.0
241,829.986,-12.0
242,831.381,-10.0
243,832.771,23.0
244,834.155,21.0
245,835.533,5.0
246,836.906,5.0
247,838.272,21.0
248,839.633,10.0
249,840.989,7.0
250,842.339,-12.0
251,843.683,-31.0
252,845.021,-3.0
253,846.354,26.0
254,847.682,13.0
255,849.004,17.0
256,850.32,-17.0
257,851.631,-2.0
258,852.936,10.0
259,854.236,23.0
260,855.53,-19.0
261,856.819,-8.0
262,858.102,-5.0
263,859.38,20.0
264,860.653,-23.0
265,861.92,-18.0
266,863.182,-19.0
267,864.439,1.0
268,865.69,23.0
269,866.936,-5.0
270,868.177,-30.0
271,869.412,-24.0
272,870.642,13.0
273,871.867,-17.0
274,873.087,24.0
275,874.302,-20.0
276,875.512,8.0
277,876.716,29.0
278,877.916,31.0
279,879.11,13.0
280,880.299,-3.0
281,881.483,-26.0
282,882.663,6.0
283,883.837,-8.0
284,885.006,24.0
285,886.17,-4.0
286,887.33,-3.0
287,888.484,-12.0
