,Wavelength[nm],Average
0,320.469,8.0
1,323.166,101.0
2,325.861,126.0
3,328.553,133.0
4,331.243,150.0
5,333.93,151.0
6,336.615,147.0
7,339.297,138.0
8,341.976,173.0
9,344.653,199.0
10,347.327,217.0
11,349.998,258.0
12,352.666,275.0
13,355.331,368.0
14,357.994,490.0
15,360.653,670.0
16,363.309,1059.0
17,365.962,1842.0
18,368.612,4119.0
19,371.259,9363.0
20,373.903,19850.0
21,376.543,37193.0
22,379.18,53030.0
23,381.813,53391.0
24,384.443,53477.0
25,387.07,53630.0
26,389.693,53144.0
27,392.313,53432.0
28,394.929,53340.0
29,397.541,49985.0
30,400.15,37724.0
31,402.755,26302.0
32,405.356,17490.0
33,407.954,11563.0
34,410.547,7743.0
35,413.137,5251.0
36,415.723,3580.0
37,418.305,2519.0
38,420.883,1835.0
39,423.457,1389.0
40,426.027,1127.0
41,428.593,978.0
42,431.154,832.0
43,433.712,757.0
44,436.265,742.0
45,438.814,668.0
46,441.359,632.0
47,443.9,654.0
48,446.436,595.0
49,448.967,599.0
50,451.495,642.0
51,454.018,633.0
52,456.536,678.0
53,459.05,644.0
54,461.559,628.0
55,464.064,665.0
56,466.564,665.0
57,469.06,649.0
58,471.551,648.0
59,474.037,640.0
60,476.518,646.0
61,478.995,656.0
62,481.467,634.0
63,483.934,677.0
64,486.396,652.0
65,488.853,668.0
66,491.305,688.0
67,493.753,715.0
68,496.195,748.0
69,498.632,728.0
70,501.065,724.0
71,503.492,805.0
72,505.914,730.0
73,508.332,737.0
74,510.743,759.0
75,513.15,768.0
76,515.552,800.0
77,517.948,762.0
78,520.339,757.0
79,522.725,776.0
80,525.106,752.0
81,527.481,765.0
82,529.851,735.0
83,532.216,740.0
84,534.575,710.0
85,536.929,682.0
86,539.277,716.0
87,541.62,609.0
88,543.957,640.0
89,546.289,590.0
90,548.616,555.0
91,550.936,512.0
92,553.252,511.0
93,555.561,495.0
94,557.865,431.0
95,560.164,460.0
96,562.457,460.0
97,564.744,397.0
98,567.025,415.0
99,569.301,369.0
100,571.571,382.0
101,573.835,403.0
102,576.093,349.0
103,578.346,345.0
104,580.593,319.0
105,582.834,346.0
106,585.069,280.0
107,587.299,280.0
108,589.522,256.0
109,591.74,286.0
110,593.952,307.0
111,596.158,229.0
112,598.358,225.0
113,600.551,223.0
114,602.739,215.0
115,604.922,184.0
116,607.098,207.0
117,609.268,192.0
118,611.432,172.0
119,613.59,178.0
120,615.742,152.0
121,617.887,134.0
122,620.027,150.0
123,622.161,157.0
124,624.289,142.0
125,626.41,134.0
126,628.526,116.0
127,630.635,114.0
128,632.738,116.0
129,634.835,123.0
130,636.926,113.0
131,639.011,125.0
132,641.089,90.0
133,643.162,99.0
134,645.228,73.0
135,647.288,94.0
136,649.341,63.0
137,651.389,95.0
138,653.43,67.0
139,655.465,70.0
140,657.494,104.0
141,659.516,85.0
142,661.532,72.0
143,663.542,75.0
144,665.546,42.0
145,667.543,67.0
146,669.535,65.0
147,671.519,84.0
148,673.498,70.0
149,675.47,45.0
150,677.436,69.0
151,679.396,63.0
152,681.349,59.0
153,683.296,64.0
154,685.236,68.0
155,687.171,36.0
156,689.099,33.0
157,691.02,28.0
158,692.935,41.0
159,694.844,41.0
160,696.747,60.0
161,698.643,39.0
162,700.533,50.0
163,702.416,45.0
164,704.293,23.0
165,706.164,33.0
166,708.029,53.0
167,709.887,26.0
168,711.738,31.0
169,713.584,22.0
170,715.423,37.0
171,717.255,45.0
172,719.082,50.0
173,720.901,43.0
174,722.715,20.0
175,724.522,31.0
176,726.323,56.0
177,728.117,12.0
178,729.905,50.0
179,731.687,6.0
180,733.462,27.0
181,735.232,15.0
182,736.994,15.0
183,738.751,25.0
184,740.501,4.0
185,742.244,33.0
186,743.982,37.0
187,745.713,16.0
188,747.437,29.0
189,749.156,18.0
190,750.868,3.0
191,752.573,27.0
192,754.273,23.0
193,755.966,12.0
194,757.653,15.0
195,759.333,14.0
196,761.008,31.0
197,762.676,16.0
198,764.337,25.0
199,765.993,-3.0
200,767.642,41.0
201,769.285,36.0
202,770.922,-2.0
203,772.552,26.0
204,774.176,27.0
205,775.795,36.0
206,777.406,35.0
207,779.012,58.0
208,780.611,15.0
209,782.205,12.0
210,783.792,18.0
211,785.373,45.0
212,786.947,12.0
