,Wavelength[nm],Average
0,320.469,0.0
1,323.166,76.0
2,325.861,57.0
3,328.553,103.0
4,331.243,83.0
5,333.93,75.0
6,336.615,81.0
7,339.297,82.0
8,341.976,99.0
9,344.653,107.0
10,347.327,125.0
11,349.998,177.0
12,352.666,184.0
13,355.331,212.0
14,357.994,242.0
15,360.653,303.0
16,363.309,517.0
17,365.962,940.0
18,368.612,1950.0
19,371.259,4438.0
20,373.903,9521.0
21,376.543,18126.0
22,379.18,30601.0
23,381.813,44090.0
24,384.443,52262.0
25,387.07,53536.0
26,389.693,52717.0
27,392.313,48271.0
28,394.929,37161.0
29,397.541,26322.0
30,400.15,18582.0
31,402.755,12747.0
32,405.356,8430.0
33,407.954,5523.0
34,410.547,3815.0
35,413.137,2602.0
36,415.723,1774.0
37,418.305,1230.0
38,420.883,967.0
39,423.457,765.0
40,426.027,611.0
41,428.593,521.0
42,431.154,455.0
43,433.712,386.0
44,436.265,395.0
45,438.814,340.0
46,441.359,301.0
47,443.9,348.0
48,446.436,345.0
49,448.967,337.0
50,451.495,378.0
51,454.018,368.0
52,456.536,325.0
53,459.05,326.0
54,461.559,362.0
55,464.064,361.0
56,466.564,358.0
57,469.06,355.0
58,471.551,390.0
59,474.037,333.0
60,476.518,314.0
61,478.995,329.0
62,481.467,292.0
63,483.934,273.0
64,486.396,322.0
65,488.853,309.0
66,491.305,309.0
67,493.753,305.0
68,496.195,280.0
69,498.632,263.0
70,501.065,280.0
71,503.492,287.0
72,505.914,263.0
73,508.332,298.0
74,510.743,283.0
75,513.15,286.0
76,515.552,312.0
77,517.948,268.0
78,520.339,281.0
79,522.725,275.0
80,525.106,292.0
81,527.481,265.0
82,529.851,252.0
83,532.216,253.0
84,534.575,247.0
85,536.929,234.0
86,539.277,220.0
87,541.62,230.0
88,543.957,228.0
89,546.289,197.0
90,548.616,200.0
91,550.936,193.0
92,553.252,176.0
93,555.561,192.0
94,557.865,134.0
95,560.164,151.0
96,562.457,171.0
97,564.744,155.0
98,567.025,179.0
99,569.301,125.0
100,571.571,141.0
101,573.835,144.0
102,576.093,116.0
103,578.346,160.0
104,580.593,102.0
105,582.834,102.0
106,585.069,94.0
107,587.299,89.0
108,589.522,99.0
109,591.74,104.0
110,593.952,95.0
111,596.158,73.0
112,598.358,109.0
113,600.551,78.0
114,602.739,92.0
115,604.922,48.0
116,607.098,79.0
117,609.268,118.0
118,611.432,65.0
119,613.59,49.0
120,615.742,93.0
121,617.887,58.0
122,620.027,74.0
123,622.161,71.0
124,624.289,60.0
125,626.41,67.0
126,628.526,50.0
127,630.635,39.0
128,632.738,42.0
129,634.835,54.0
130,636.926,16.0
131,639.011,37.0
132,641.089,35.0
133,643.162,49.0
134,645.228,52.0
135,647.288,63.0
136,649.341,27.0
137,651.389,34.0
138,653.43,38.0
139,655.465,35.0
140,657.494,8.0
141,659.516,20.0
142,661.532,33.0
143,663.542,45.0
144,665.546,-5.0
145,667.543,22.0
146,669.535,39.0
147,671.519,29.0
148,673.498,6.0
149,675.47,41.0
150,677.436,17.0
151,679.396,19.0
152,681.349,38.0
153,683.296,18.0
154,685.236,10.0
155,687.171,4.0
156,689.099,-7.0
157,691.02,32.0
158,692.935,-4.0
159,694.844,32.0
160,696.747,13.0
161,698.643,39.0
162,700.533,31.0
163,702.416,18.0
164,704.293,-2.0
165,706.164,5.0
166,708.029,6.0
167,709.887,9.0
168,711.738,13.0
169,713.584,-2.0
170,715.423,14.0
171,717.255,15.0
172,719.082,-7.0
173,720.901,-1.0
174,722.715,-12.0
175,724.522,-4.0
176,726.323,16.0
177,728.117,18.0
178,729.905,1.0
179,731.687,-17.0
180,733.462,11.0
181,735.232,-5.0
182,736.994,-5.0
183,738.751,-6.0
184,740.501,-6.0
185,742.244,8.0
186,743.982,-28.0
187,745.713,-18.0
188,747.437,2.0
189,749.156,7.0
190,750.868,13.0
191,752.573,20.0
192,754.273,-9.0
193,755.966,-23.0
194,757.653,3.0
195,759.333,21.0
196,761.008,-15.0
197,762.676,16.0
198,764.337,4.0
199,765.993,11.0
200,767.642,9.0
201,769.285,-16.0
202,770.922,-11.0
203,772.552,7.0
204,774.176,7.0
205,775.795,-19.0
206,777.406,-21.0
207,779.012,8.0
208,780.611,-6.0
209,782.205,-24.0
210,783.792,-19.0
211,785.373,-13.0
212,786.947,25.0
213,788.516,-24.0
214,790.078,-9.0
215,791.635,6.0
216,793.185,-14.0
217,794.729,14.0
218,796.267,22.0
219,797.799,-17.0
220,799.325,-7.0
221,800.844,-8.0
222,802.358,-9.0
223,803.866,13.0
224,805.368,-7.0
225,806.863,3.0
226,808.353,-29.0
227,809.836,21.0
228,811.314,21.0
229,812.786,-26.0
230,814.252,-6.0
231,815.711,0.0
232,817.165,10.0
233,818.613,-5.0
234,820.055,14.0
235,821.491,-6.0
236,822.922,1.0
237,824.346,-11.0
238,825.765,7.0
239,827.178,-4.0
240,828.585,5.0
241,829.986,-10.0
242,831.381,15.0
243,832.771,1.0
244,834.155,-14.0
245,835.533,-11.0
246,836.906,-11.0
247,838.272,-16.0
248,839.633,5.0
249,840.989,-5.0
250,842.339,-16.0
251,843.683,-18.0
252,845.021,20.0
253,846.354,3.0
254,847.682,7.0
255,849.004,-19.0
256,850.32,0.0
257,851.631,-4.0
258,852.936,1.0
259,854.236,-1.0
260,855.53,-22.0
261,856.819,-2.0
262,858.102,-7.0
263,859.38,28.0
264,860.653,0.0
265,861.92,-10.0
266,863.182,27.0
267,864.439,-2.0
268,865.69,-17.0
269,866.936,-23.0
270,868.177,26.0
271,869.412,1.0
272,870.642,-3.0
273,871.867,-32.0
274,873.087,14.0
275,874.302,-6.0
276,875.512,-20.0
277,876.716,-13.0
278,877.916,19.0
279,879.11,13.0
280,880.299,-23.0
281,881.483,0.0
282,882.663,-14.0
283,883.837,-16.0
284,885.006,3.0
285,886.17,6.0
286,887.33,-3.0
287,888.484,28.0
