,Wavelength[nm],Average
0,320.469,-2.0
1,323.166,87.0
2,325.861,94.0
3,328.553,100.0
4,331.243,78.0
5,333.93,75.0
6,336.615,123.0
7,339.297,111.0
8,341.976,138.0
9,344.653,155.0
10,347.327,146.0
11,349.998,197.0
12,352.666,206.0
13,355.331,275.0
14,357.994,355.0
15,360.653,467.0
16,363.309,709.0
17,365.962,1327.0
18,368.612,2814.0
19,371.259,6237.0
20,373.903,13656.0
21,376.543,25921.0
22,379.18,42673.0
23,381.813,52869.0
24,384.443,53405.0
25,387.07,53580.0
26,389.693,53094.0
27,392.313,53409.0
28,394.929,49434.0
29,397.541,37397.0
30,400.15,26481.0
31,402.755,18371.0
32,405.356,12210.0
33,407.954,7938.0
34,410.547,5416.0
35,413.137,3745.0
36,415.723,2625.0
37,418.305,1805.0
38,420.883,1303.0
39,423.457,1022.0
40,426.027,833.0
41,428.593,699.0
42,431.154,627.0
43,433.712,576.0
44,436.265,512.0
45,438.814,496.0
46,441.359,460.0
47,443.9,453.0
48,446.436,511.0
49,448.967,479.0
50,451.495,459.0
51,454.018,513.0
52,456.536,542.0
53,459.05,498.0
54,461.559,519.0
55,464.064,509.0
56,466.564,486.0
57,469.06,501.0
58,471.551,484.0
59,474.037,513.0
60,476.518,487.0
61,478.995,502.0
62,481.467,463.0
63,483.934,471.0
64,486.396,448.0
65,488.853,441.0
66,491.305,456.0
67,493.753,453.0
68,496.195,437.0
69,498.632,443.0
70,501.065,444.0
71,503.492,416.0
72,505.914,442.0
73,508.332,411.0
74,510.743,427.0
75,513.15,433.0
76,515.552,405.0
77,517.948,410.0
78,520.339,451.0
79,522.725,393.0
80,525.106,451.0
81,527.481,369.0
82,529.851,405.0
83,532.216,451.0
84,534.575,394.0
85,536.929,386.0
86,539.277,391.0
87,541.62,348.0
88,543.957,348.0
89,546.289,302.0
90,548.616,268.0
91,550.936,264.0
92,553.252,290.0
93,555.561,268.0
94,557.865,246.0
95,560.164,236.0
96,562.457,245.0
97,564.744,207.0
98,567.025,205.0
99,569.301,208.0
100,571.571,208.0
101,573.835,182.0
102,576.093,174.0
103,578.346,183.0
104,580.593,169.0
105,582.834,179.0
106,585.069,189.0
107,587.299,188.0
108,589.522,161.0
109,591.74,117.0
110,593.952,135.0
111,596.158,89.0
112,598.358,109.0
113,600.551,114.0
114,602.739,146.0
115,604.922,107.0
116,607.098,85.0
117,609.268,64.0
118,611.432,90.0
119,613.59,81.0
120,615.742,60.0
121,617.887,117.0
122,620.027,81.0
123,622.161,64.0
124,624.289,107.0
125,626.41,75.0
126,628.526,57.0
127,630.635,99.0
128,632.738,71.0
129,634.835,57.0
130,636.926,89.0
131,639.011,46.0
132,641.089,65.0
133,643.162,66.0
134,645.228,59.0
135,647.288,47.0
136,649.341,42.0
137,651.389,50.0
138,653.43,56.0
139,655.465,41.0
140,657.494,49.0
141,659.516,19.0
142,661.532,35.0
143,663.542,35.0
144,665.546,29.0
145,667.543,18.0
146,669.535,6.0
147,671.519,27.0
148,673.498,12.0
149,675.47,6.0
150,677.436,-5.0
151,679.396,11.0
152,681.349,34.0
153,683.296,25.0
154,685.236,32.0
155,687.171,29.0
156,689.099,18.0
157,691.02,42.0
158,692.935,26.0
159,694.844,28.0
160,696.747,16.0
161,698.643,-20.0
162,700.533,25.0
163,702.416,-9.0
164,704.293,10.0
165,706.164,2.0
166,708.029,-8.0
167,709.887,24.0
168,711.738,2.0
169,713.584,9.0
170,715.423,25.0
171,717.255,10.0
172,719.082,5.0
173,720.901,17.0
174,722.715,-19.0
175,724.522,-2.0
176,726.323,25.0
177,728.117,22.0
178,729.905,6.0
179,731.687,-7.0
180,733.462,-3.0
181,735.232,-30.0
182,736.994,2.0
183,738.751,6.0
184,740.501,19.0
185,742.244,6.0
186,743.982,24.0
187,745.713,9.0
188,747.437,-7.0
189,749.156,-2.0
190,750.868,15.0
191,752.573,21.0
192,754.273,7.0
193,755.966,-6.0
194,757.653,23.0
195,759.333,26.0
196,761.008,7.0
197,762.676,34.0
198,764.337,-14.0
199,765.993,9.0
200,767.642,-21.0
201,769.285,-4.0
202,770.922,15.0
203,772.552,7.0
204,774.176,-4.0
205,775.795,-8.0
206,777.406,2.0
207,779.012,6.0
208,780.611,3.0
209,782.205,12.0
210,783.792,-5.0
211,785.373,-1.0
212,786.947,-8.0
213,788.516,-3.0
214,790.078,4.0
215,791.635,13.0
216,793.185,2.0
217,794.729,2.0
218,796.267,39.0
219,797.799,6.0
220,799.325,-7.0
221,800.844,11.0
222,802.358,9.0
223,803.866,-5.0
224,805.368,-33.0
225,806.863,32.0
226,808.353,9.0
227,809.836,-18.0
228,811.314,13.0
229,812.786,-4.0
230,814.252,-18.0
231,815.711,10.0
232,817.165,-2.0
233,818.613,-9.0
234,820.055,-10.0
235,821.491,6.0
236,822.922,21.0
237,824.346,-6.0
238,825.765,-13.0
239,827.178,-7.0
240,828.585,0.0
241,829.986,10.0
242,831.381,31.0
243,832.771,-4.0
244,834.155,0.0
245,835.533,-1.0
246,836.906,-29.0
247,838.272,13.0
248,839.633,-5.0
249,840.989,10.0
250,842.339,12.0
251,843.683,7.0
252,845.021,-14.0
253,846.354,0.0
254,847.682,16.0
255,849.004,9.0
256,850.32,14.0
257,851.631,-10.0
258,852.936,0.0
259,854.236,-15.0
260,855.53,22.0
261,856.819,-5.0
262,858.102,-18.0
263,859.38,20.0
264,860.653,8.0
265,861.92,9.0
266,863.182,13.0
267,864.439,4.0
268,865.69,10.0
269,866.936,1.0
270,868.177,-6.0
271,869.412,8.0
272,870.642,-14.0
273,871.867,12.0
274,873.087,3.0
275,874.302,21.0
276,875.512,31.0
277,876.716,-28.0
278,877.916,1.0
279,879.11,-1.0
280,880.299,21.0
281,881.483,8.0
282,882.663,2.0
283,883.837,-22.0
284,885.006,0.0
285,886.17,9.0
286,887.33,-1.0
287,888.484,19.0
