,Wavelength[nm],Average
0,320.469,1.0
1,323.166,107.0
2,325.861,85.0
3,328.553,122.0
4,331.243,123.0
5,333.93,115.0
6,336.615,125.0
7,339.297,151.0
8,341.976,167.0
9,344.653,149.0
10,347.327,186.0
11,349.998,217.0
12,352.666,246.0
13,355.331,269.0
14,357.994,376.0
15,360.653,480.0
16,363.309,773.0
17,365.962,1433.0
18,368.612,3045.0
19,371.259,6994.0
20,373.903,14958.0
21,376.543,28324.0
22,379.18,45942.0
23,381.813,53362.0
24,384.443,53539.0
25,387.07,53696.0
26,389.693,53187.0
27,392.313,53490.0
28,394.929,51847.0
29,397.541,40191.0
30,400.15,28853.0
31,402.755,19972.0
32,405.356,13252.0
33,407.954,8713.0
34,410.547,5843.0
35,413.137,4003.0
36,415.723,2753.0
37,418.305,1956.0
38,420.883,1402.0
39,423.457,1103.0
40,426.027,875.0
41,428.593,759.0
42,431.154,666.0
43,433.712,619.0
44,436.265,515.0
45,438.814,517.0
46,441.359,539.0
47,443.9,501.0
48,446.436,484.0
49,448.967,502.0
50,451.495,469.0
51,454.018,488.0
52,456.536,499.0
53,459.05,519.0
54,461.559,482.0
55,464.064,498.0
56,466.564,513.0
57,469.06,587.0
58,471.551,510.0
59,474.037,555.0
60,476.518,501.0
61,478.995,496.0
62,481.467,544.0
63,483.934,530.0
64,486.396,541.0
65,488.853,511.0
66,491.305,535.0
67,493.753,574.0
68,496.195,541.0
69,498.632,541.0
70,501.065,616.0
71,503.492,588.0
72,505.914,623.0
73,508.332,568.0
74,510.743,676.0
75,513.15,584.0
76,515.552,634.0
77,517.948,627.0
78,520.339,594.0
79,522.725,602.0
80,525.106,635.0
81,527.481,614.0
82,529.851,578.0
83,532.216,540.0
84,534.575,567.0
85,536.929,538.0
86,539.277,549.0
87,541.62,545.0
88,543.957,538.0
89,546.289,479.0
90,548.616,454.0
91,550.936,434.0
92,553.252,430.0
93,555.561,382.0
94,557.865,388.0
95,560.164,384.0
96,562.457,371.0
97,564.744,357.0
98,567.025,370.0
99,569.301,353.0
100,571.571,325.0
101,573.835,303.0
102,576.093,293.0
103,578.346,302.0
104,580.593,290.0
105,582.834,278.0
106,585.069,261.0
107,587.299,222.0
108,589.522,235.0
